X,Y,OBJECTID,Type,Detail,Name,DISTRICT,COUNTY,FACILITY,Camp_type,TOTAL_SITE,ADA_SITES,Ownership,Management,Surface,Use_,Condition,lat,long
-83.517080124925684,42.563142228857743,130,Campground,State Park,Proud Lake Recreation Area  ,Pontiac,Oakland,Proud Lake Recreation Area,Organizational,1,0,State,DNR,Dirt,Recreation,Unknown,42.56313404,-83.51707555
-85.058752035744106,45.234120071836237,131,Campground,State Park,Young State Park Terrace,Gaylord,Charlevoix,Young State Park,Modern,41,5,State,DNR,Dirt,Recreation,Unknown,45.23411152,-85.0587467
-86.505176507441135,44.035342913069556,132,Campground,State Park,Ludington State Park Pines,Cadillac,Mason,Ludington State Park,Modern,97,5,State,DNR,Dirt,Recreation,Unknown,44.03533463,-86.50517087
-84.554552198261206,46.416695533677419,133,Campground,State Park,Brimley State Park  ,Gaylord,Chippewa,Brimley State Park,Modern,272,0,State,DNR,Dirt,Recreation,Unknown,46.41668676,-84.55454688
-85.455275361158485,42.618475244266691,134,Campground,State Park,Yankee Springs Recreation Area Deep Lake,Plainwell,Barry,Yankee Springs Recreation Area,Rustic,119,0,State,DNR,Dirt,Recreation,Unknown,42.61846714,-85.45527019
-84.644493106074435,44.73314608958642,135,Campground,State Park,Hartwick Pines State Park  ,Roscommon,Crawford,Hartwick Pines State Park,Organizational,9,0,State,DNR,Dirt,Recreation,Unknown,44.73313759,-84.64448796
-86.200381941245013,42.779825976483096,136,Campground,State Park,Holland State Park Beach,Plainwell,Ottawa,Holland State Park,Modern,61,8,State,DNR,Dirt,Recreation,Unknown,42.77981789,-86.20037653
-85.549854726851521,44.74614934385869,137,Campground,State Park,Traverse City State Park  ,Roscommon,Grand Traverse,Traverse City State Park,Modern,343,0,State,DNR,Dirt,Recreation,Unknown,44.74614089,-85.5498493
-84.121786384126338,42.341987726567154,138,Campground,State Park,Waterloo Recreation Area Sugarloaf Lake,Rose Lake,Jackson,Waterloo Recreation Area,Modern,154,10,State,DNR,Dirt,Recreation,Unknown,42.3419796,-84.12178164
-87.859143057790874,47.466074305957946,139,Campground,State Park,Fort Wilkins State Park East,Baraga,Keweenaw,Fort Wilkins State Park,Modern,81,0,State,DNR,Dirt,Recreation,Unknown,47.46606558,-87.85913657
-85.763170155695533,44.623148217653856,140,Campground,State Park,Interlochen State Park Green Lake,Gaylord,Grand Traverse,Interlochen State Park,Rustic,15,0,State,DNR,Dirt,Recreation,Unknown,44.6231398,-85.76316468
-84.912840100417071,45.395198354944455,141,Campground,State Park,Petoskey State Park Tannery Creek,Gaylord,Emmet,Petoskey State Park,Modern,100,5,State,DNR,Dirt,Recreation,Unknown,45.39518977,-84.91283479
-85.551514628548603,44.744895034611879,142,Campground,State Park,Traverse City State Park  ,Roscommon,Grand Traverse,Traverse City State Park,Organizational,1,0,State,DNR,Dirt,Recreation,Unknown,44.74488659,-85.5515092
-86.500934192636521,44.038487460694938,143,Campground,State Park,Ludington State Park Cedars,Cadillac,Mason,Ludington State Park,Modern,105,4,State,DNR,Dirt,Recreation,Unknown,44.03847918,-86.50092855
-83.817287769486512,42.507245957688518,144,Campground,State Park,Brighton Recreatino Area Murray Lake,Rose Lake,Livingston,Brighton Recreatino Area,Rustic,25,0,State,DNR,Dirt,Recreation,Unknown,42.50723779,-83.8172831
-82.525826317715911,42.658166734840137,145,Campground,State Park,Algonac State Park  ,Pontiac,St. Clair,Algonac State Park,Organizational,2,0,State,DNR,Dirt,Recreation,Unknown,42.65815848,-82.52582204
-84.029058464731122,44.398098649384991,146,Campground,State Park,Rifle River Recreation Area Devoe Lake,Roscommon,Ogemaw,Rifle River Recreation Area,Rustic,38,0,State,DNR,Dirt,Recreation,Unknown,44.39809017,-84.02905354
-83.902079301664756,43.664368271606868,147,Campground,State Park,Bay City Recreation Area  ,Bay City,Bay,Bay City Recreation Area,Modern,184,0,State,DNR,Dirt,Recreation,Unknown,43.66435991,-83.9020745
-84.752982339019653,44.513964264129385,148,Campground,State Park,North Higgins Lake State Park West,Roscommon,Crawford,North Higgins Lake State Park,Modern,82,0,State,DNR,Dirt,Recreation,Unknown,44.51395581,-84.75297718
-83.348257632357871,42.936342519124466,149,Campground,State Park,Metamora-Hadley Recreation Area  ,Bay City,Lapeer,Metamora-Hadley Recreation Area,Modern,125,0,State,DNR,Dirt,Recreation,Unknown,42.93633425,-83.34825307
-85.115072758001062,42.944801999259127,150,Campground,State Park,Ionia Recreatino Area  ,Rose Lake,Ionia,Ionia Recreatino Area,Organizational,30,0,State,DNR,Dirt,Recreation,Unknown,42.94479383,-85.11506765
-84.403789863984073,42.934447559839214,151,Campground,State Park,Sleepy Hollow State Park  ,Rose Lake,Clinton,Sleepy Hollow State Park,Organizational,1,0,State,DNR,Dirt,Recreation,Unknown,42.93443935,-84.40378498
